CALENDARYEAR,MONTHNUMBEROFYEAR,DAYNUMBEROFMONTH,CUSTOMERKEY,FIRSTNAME,LASTNAME,YEARLYINCOME,BIRTHDATE,GENDER,TOTAL_QUANTITY
2008,5,19,19263,Nina,Chande,30000,1946-11-07,F,2
2008,6,19,21293,Ashley,Garcia,120000,1966-07-06,F,3
2008,5,15,26796,Warren,Raji,40000,1945-03-22,M,2
2008,6,6,21871,Devin,Adams,60000,1980-11-05,M,1
2008,4,30,16833,Richard,Cooper,90000,1936-08-24,M,4
2008,2,14,16987,Miguel,Clark,80000,1969-04-09,M,2
2008,4,21,27459,Kevin,Kumar,130000,1972-11-26,M,5
2008,1,4,11078,Gina,Martin,40000,1978-01-10,F,1
2008,4,24,13142,Xavier,Moore,40000,1979-03-23,M,2
2008,2,13,22206,Cynthia,Rodriguez,110000,1962-09-03,F,4
2008,2,19,15251,Noah,Hall,30000,1984-02-22,M,2
2008,4,17,24211,Sharon,Shan,60000,1973-01-18,F,2
2008,6,8,19941,Cedric,Liang,160000,1953-03-11,M,5
2008,5,18,15686,Pedro,Vazquez,130000,1948-07-03,M,2
2008,4,25,27317,Raymond,Lopez,150000,1950-10-23,M,2
2008,4,14,13010,Erica,Ye,60000,1969-08-16,F,3
2008,2,7,15367,Alyssa,White,90000,1968-01-05,F,4
2008,6,28,17523,Jordan,West,130000,1970-07-16,M,1
2008,3,31,11200,Jason,Griffin,70000,1951-11-22,M,1
2008,1,22,20245,Darren,Malhotra,100000,1970-08-09,M,4
2008,4,17,20081,Jerry,Xie,20000,1957-01-17,M,2
2008,2,8,21173,Chad,Yuan,70000,1971-11-13,M,2
2008,4,17,16852,Kate,She,110000,1967-06-07,F,3
2008,6,17,26431,Shaun,Rai,60000,1978-08-16,M,2
2008,1,9,22784,Nicholas,Jackson,70000,1956-06-17,M,2
2008,5,8,28970,Danielle,Peterson,60000,1942-06-25,F,3
2008,2,9,24184,Alexandra,Jackson,30000,1965-09-24,F,2
2008,4,18,14779,Henry,Fernandez,10000,1971-03-12,M,2
2008,1,14,12109,Morgan,Foster,60000,1954-03-20,F,3
2008,5,10,23362,Nicholas,Martin,70000,1961-09-20,M,2
2008,7,8,16239,Gabriel,Nelson,40000,1961-12-01,M,2
2008,5,14,15733,Leslie,Ramos,120000,1976-03-25,F,5
2008,6,28,19638,Kimberly,Peterson,30000,1984-10-26,F,1
2008,4,9,12274,Javier,Torres,10000,1974-09-26,M,1
2008,4,19,15462,Tony,Chande,10000,1947-08-27,M,3
2008,2,18,24853,Miguel,Long,80000,1958-04-04,M,2
2008,5,19,12564,Marshall,Yang,30000,1945-03-09,M,2
2008,7,18,12803,Heather,Li,30000,1972-03-18,F,4
2008,6,6,28477,Kenneth,Tang,30000,1945-09-03,M,2
2008,2,2,28393,Ramon,Zheng,40000,1970-07-07,M,3
2008,7,27,18668,Brian,Sanders,30000,1961-05-17,M,1
2008,2,18,16831,Theodore,Vazquez,130000,1959-05-12,M,2
2008,2,19,27813,Roy,Vance,20000,1981-02-02,M,2
2008,3,1,13707,Austin,Smith,40000,1979-11-19,M,2
2008,3,30,23658,Ross,Arun,110000,1976-11-25,M,2
2008,3,22,16555,Mathew,Vazquez,10000,1974-06-21,M,3
2008,5,16,27543,Katherine,Griffin,70000,1966-02-23,F,2
2008,1,26,11331,Samantha,Jenkins,90000,1972-07-06,F,3
2008,2,6,13150,Lacey,Yang,30000,1941-06-10,F,4
2008,4,3,23615,Kendra,Suarez,160000,1949-04-13,F,2
2008,4,1,28555,Monique,Serrano,40000,1977-07-12,F,3
2008,3,7,12625,Carly,Andersen,20000,1956-06-26,F,4
2008,2,28,15193,Samuel,King,120000,1970-03-18,M,6
2008,3,31,15568,Aaron,Hayes,80000,1962-01-11,M,2
2008,7,1,15536,Victoria,Thomas,60000,1967-08-13,F,3
2008,1,3,14942,Whitney,Madan,30000,1970-02-13,F,1
2008,4,4,22531,Tiffany,Zhou,20000,1980-11-20,F,3
2008,1,10,28687,Javier,Gutierrez,10000,1974-11-20,M,1
2008,5,11,25083,Omar,Gao,40000,1965-06-17,M,2
2008,5,11,19258,Douglas,Mehta,10000,1958-05-21,M,2
2008,5,24,29367,Randy,Ye,40000,1971-03-13,M,2
2008,1,10,12198,Noah,Scott,60000,1957-02-14,M,6
2008,3,4,20252,Darrell,Raje,60000,1964-06-23,M,3
2008,4,16,18440,Joe,Ashe,60000,1945-11-04,M,3
2008,5,4,28061,Kyle,Lopez,70000,1970-01-09,M,3
2008,4,30,23053,Anna,Bailey,90000,1964-11-16,F,3
2008,1,16,15240,Monique,Navarro,40000,1957-10-07,F,1
2008,4,21,23335,James,Robinson,40000,2884-03-20,M,2
2008,6,15,14403,Angelica,Russell,60000,1953-03-19,F,2
2008,6,6,13036,Virginia,Subram,30000,1954-02-03,F,3
2008,2,7,22070,Eduardo,Brown,110000,1967-07-02,M,2
2008,1,3,23368,Cassidy,Flores,60000,1968-11-22,F,1
2008,2,10,21820,Priscilla,Nath,110000,1961-06-11,F,2
2008,3,6,19838,Jared,Ramirez,70000,1946-10-18,M,4
2008,4,17,15188,Isaac,Watson,60000,1978-03-10,M,3
2008,2,20,24701,Marco,Fernandez,40000,1977-04-14,M,3
2008,1,7,20544,Dalton,Hall,70000,1956-10-26,M,3
2008,7,16,23124,Cameron,Wang,80000,1977-01-15,M,1
2008,4,13,15822,Damien,Zhu,40000,1942-10-19,M,2
2008,3,19,22654,Orlando,Romero,20000,1969-09-22,M,3
2008,2,14,27018,Blake,Price,80000,1970-07-26,M,2
2008,6,12,25475,Destiny,Martin,10000,1968-02-06,F,2
2008,2,9,19740,Connie,Liang,70000,1944-11-21,F,4
2008,7,9,27315,James,Mitchell,100000,1949-06-19,M,3
2008,7,19,13961,Shawna,Raji,80000,1970-05-08,F,4
2008,2,4,14192,Ronald,Kapoor,90000,1954-08-23,M,3
2008,5,6,23123,Zoe,Kelly,110000,1963-09-02,F,2
2008,7,16,22660,Monica,Lopez,20000,1968-07-16,F,1
2008,6,5,18337,Audrey,Serrano,50000,1946-08-14,F,1
2008,2,9,12445,Cameron,Taylor,40000,1961-03-27,M,1
2008,1,28,16644,Leonard,Goel,170000,1945-12-23,M,1
2008,6,24,15668,Erick,Fernandez,40000,1974-02-27,M,3
2008,6,18,15472,Jennifer,Torres,50000,1973-10-18,F,2
2008,6,25,20011,Eduardo,Sanders,70000,1970-03-02,M,1
2008,5,18,25683,Ebony,Ruiz,10000,1974-08-25,F,4
2008,2,25,25885,Hailey,Washington,40000,1954-10-17,F,2
2008,6,11,13109,Cheryl,Navarro,60000,1966-08-12,F,2
2008,5,5,20027,Danielle,Murphy,60000,1968-12-17,F,2
2008,5,23,11569,Troy,Malhotra,30000,1970-05-10,M,1
2008,3,25,25834,Jeremy,Davis,30000,1952-11-18,M,2
2008,2,27,19483,Michele,Serrano,50000,1938-04-03,F,2
2008,5,19,28220,Kelsey,Xu,80000,1970-09-20,F,2
2008,5,9,12031,Logan,Jai,30000,1983-10-19,M,1
2008,2,14,17885,Julio,Carlson,30000,1966-01-21,M,1
2008,6,9,16229,Wayne,Chande,40000,1959-05-20,M,4
2008,6,28,19100,Bradley,Rai,100000,1975-06-01,M,2
2008,3,18,14328,Andrea,Rogers,30000,1980-08-08,F,4
2008,4,8,23800,Kaylee,Cox,20000,1961-10-09,F,3
2008,5,10,29077,Blake,Henderson,70000,1981-11-23,M,3
2008,3,6,23174,Gloria,Gonzales,70000,1974-04-13,F,3
2008,4,11,13001,Clarence,Zhang,130000,1973-09-06,M,3
2008,6,27,24143,Stanley,Mehta,10000,1966-08-09,M,2
2008,7,23,11137,Jasmine,Taylor,40000,1982-07-20,F,2
2008,5,31,29263,Nathan,Li,70000,1940-05-24,M,2
2008,6,5,28579,Grace,Ross,80000,1970-06-18,F,2
2008,7,8,25790,Cameron,Patterson,100000,1957-09-10,M,4
2008,2,20,18649,Jackson,Patterson,30000,1959-08-14,M,2
2008,3,26,19074,Colleen,Shen,70000,1952-05-11,F,2
2008,1,6,22787,Andrea,Sanchez,70000,1956-03-11,F,4
2008,6,19,26286,Evan,Phillips,50000,1976-12-07,M,5
2008,7,3,11749,Eduardo,Jackson,80000,1973-09-13,M,1
2008,5,19,27586,Jenny,She,60000,1972-08-15,F,1
2008,3,24,11507,Isabella,Russell,60000,1970-11-20,F,1
2008,6,2,26277,Jacqueline,Hughes,40000,1962-11-24,F,2
2008,3,20,21156,Maria,Lopez,60000,1964-02-24,F,3
2008,2,16,26533,Xavier,Mitchell,80000,1972-07-28,M,4
2008,3,19,13846,Lisa,Zheng,40000,2979-07-20,F,2
2008,4,4,24700,Gary,Alvarez,30000,1977-03-28,M,4
2008,6,5,18158,Jeremiah,Griffin,90000,1957-06-13,M,2
2008,4,22,18884,Bryan,Reed,40000,1981-06-19,M,3
2008,2,6,18194,Yolanda,Kumar,70000,1978-09-12,F,1
2008,2,12,11502,Jared,Peterson,40000,1979-03-07,M,3
2008,4,3,16112,Frank,Munoz,70000,1967-03-05,M,4
2008,2,10,12761,Alexandra,Richardson,60000,1970-03-04,F,3
2008,5,14,21798,Jade,Sanders,60000,1954-09-25,F,2
2008,6,3,27589,Derek,Yuan,60000,1971-05-24,M,3
2008,1,27,17758,Linda,Gill,20000,1974-06-23,F,3
2008,1,17,13201,Nicholas,Davis,70000,1948-08-23,M,2
2008,7,30,23273,Benjamin,Long,30000,1961-06-06,M,3
2008,1,26,11480,Colleen,Ma,40000,1977-03-11,F,3
2008,4,1,11442,Joseph,Harris,90000,1951-11-14,M,1
2008,6,22,16374,Edward,Phillips,40000,1961-12-15,M,3
2008,3,4,11038,Diana,Hernandez,10000,1952-03-23,F,1
2008,3,14,19831,Charles,Green,70000,1966-08-23,M,3
2008,1,12,22749,Miranda,Patterson,70000,1950-07-10,F,4
2008,4,8,13294,Cassidy,Hughes,80000,1965-06-11,F,4
2008,3,27,16297,Deanna,Garcia,40000,1967-09-12,F,1
2008,3,23,18925,Haley,Griffin,60000,1980-05-12,F,3
