CALENDARYEAR,MONTHNUMBEROFYEAR,DAYNUMBEROFMONTH,CUSTOMERKEY,FIRSTNAME,LASTNAME,YEARLYINCOME,BIRTHDATE,GENDER,TOTAL_QUANTITY
2008,3,14,11277,Charles,Jackson,80000,1967-06-10,M,3
2008,4,19,16680,Carlos,Edwards,70000,1967-03-16,M,2
2008,5,25,20034,Wyatt,Turner,70000,1967-04-27,M,4
2008,1,2,14456,Benjamin,Walker,90000,1967-03-11,M,3
2008,4,25,16851,Kevin,Hayes,100000,1967-04-01,M,4
2008,2,27,29236,Eric,Young,120000,1967-04-04,M,2
2008,4,6,16854,Seth,Adams,170000,1967-08-27,M,4
2008,4,6,11706,Blake,Perez,60000,1967-02-14,M,1
2008,6,23,24409,Jackson,Hernandez,120000,1967-09-22,M,3
2008,4,26,25985,Justin,Harris,60000,1967-05-27,M,4
2008,4,6,13921,Joseph,Jones,60000,1967-05-11,M,2
2008,6,4,18267,Brad,Jai,60000,1967-05-23,M,1
2008,7,19,11277,Charles,Jackson,80000,1967-06-10,M,3
2008,4,19,18000,Ramon,She,20000,1967-11-25,M,5
2008,6,2,15529,Jason,Allen,60000,1967-07-05,M,2
2008,5,5,24107,Jonathan,Jenkins,30000,1967-04-05,M,2
2008,4,5,16283,Clayton,Raji,20000,1967-09-13,M,3
2008,4,11,23592,Joseph,Jackson,80000,1967-09-22,M,1
2008,1,17,25494,Lee,Jimenez,30000,1967-06-03,M,2
2008,6,21,15538,Luis,Lal,60000,1967-08-28,M,4
2008,1,15,11277,Charles,Jackson,80000,1967-06-10,M,1
2008,5,29,18616,Spencer,Butler,60000,1967-02-05,M,3
2008,6,28,17076,Neil,Serrano,60000,1967-11-22,M,2
2008,4,12,27710,Sean,Bailey,70000,1967-06-21,M,3
2008,1,3,16436,Ethan,Henderson,30000,1967-08-15,M,4
2008,1,18,23538,Carlos,Evans,70000,1967-07-17,M,2
2008,6,8,12369,Terrence,Lal,60000,1967-10-06,M,2
2008,2,17,14955,Jorge,Xu,20000,1967-03-03,M,2
2008,3,24,11277,Charles,Jackson,80000,1967-06-10,M,2
2008,1,9,14955,Jorge,Xu,20000,1967-03-03,M,1
2008,6,22,24406,Reginald,Vazquez,110000,1967-03-11,M,3
2008,5,6,11175,Luis,Wang,70000,1967-03-05,M,5
2008,1,3,28253,Jeremiah,Green,160000,1967-05-11,M,2
2008,5,11,12158,Kyle,Phillips,80000,1967-04-24,M,3
2008,2,11,17076,Neil,Serrano,60000,1967-11-22,M,2
2008,3,28,12369,Terrence,Lal,60000,1967-10-06,M,1
2008,7,23,27538,José,Jackson,70000,1967-02-14,M,3
2008,2,17,29235,Isaiah,Rogers,120000,1967-12-23,M,2
2008,3,16,27689,Seth,Walker,70000,1967-05-16,M,1
2008,7,8,16849,Jonathan,Collins,80000,1967-09-28,M,2
2008,6,20,22927,Jon,Guo,60000,1967-02-03,M,4
2008,4,24,14685,Lawrence,Ortega,60000,1967-09-17,M,3
2008,3,13,14959,Ross,Patel,30000,1967-01-15,M,2
2008,4,30,22299,Richard,Murphy,70000,1967-12-27,M,3
2008,1,29,23216,Kevin,Hall,60000,1967-03-07,M,5
2008,2,10,11699,Chase,Peterson,60000,1967-03-16,M,3
2008,2,9,11280,Robert,Collins,90000,1967-08-21,M,1
2008,7,28,26605,Brandon,Foster,70000,1967-02-27,M,2
2008,4,28,21096,Jon,Lin,30000,1967-09-03,M,2
2008,3,20,29238,Xavier,Powell,150000,1967-06-15,M,4
2008,1,10,29234,Kevin,Lopez,110000,1967-10-08,M,2
2008,5,18,21286,Luke,Roy,100000,1967-09-03,M,3
2008,3,10,29229,Lance,Moreno,80000,1967-10-25,M,2
2008,5,26,13103,Brendan,Raji,70000,1967-08-02,M,3
2008,3,30,25293,Eric,Gonzales,80000,1967-10-23,M,2
2008,3,30,17625,Mason,Allen,70000,1967-06-13,M,5
2008,1,30,23476,Charles,Hall,80000,1967-11-23,M,1
2008,1,21,25974,Noah,Jai,70000,1967-04-05,M,2
2008,1,13,25979,Miguel,Edwards,70000,1967-02-02,M,1
2008,6,5,26867,Danny,Romero,40000,1967-11-15,M,3
2008,6,15,18615,Charles,Peterson,70000,1967-03-13,M,3
2008,4,4,17999,Byron,Romero,20000,1967-06-25,M,2
2008,5,16,14831,Gilbert,Xie,40000,1967-02-06,M,4
2008,5,1,17416,Raymond,Suri,100000,1967-05-18,M,3
2008,7,20,22682,Willie,Luo,30000,1967-11-26,M,1
2008,2,26,26074,Isaac,Reed,80000,1967-10-16,M,2
2008,3,13,28157,Elijah,Edwards,70000,1967-04-26,M,2
2008,6,19,15532,Marshall,Jai,60000,1967-02-04,M,4
2008,2,24,25497,Marcus,Torres,40000,1967-12-01,M,1
2008,5,6,11277,Charles,Jackson,80000,1967-06-10,M,2
2008,4,22,26133,Jesse,Hall,70000,1967-07-11,M,2
2008,4,15,15228,Jermaine,Raman,70000,1967-11-02,M,3
2008,7,2,27629,Jose,Bryant,90000,1967-07-22,M,3
2008,5,7,16280,Glenn,Ma,10000,1967-08-19,M,2
2008,1,10,28398,Shawn,Lal,30000,1967-02-05,M,3
2008,3,23,12488,Jay,Garcia,20000,1967-05-12,M,1
2008,3,3,23372,Jack,Diaz,60000,1967-03-09,M,3
2008,4,9,26740,Donald,Lopez,60000,1967-11-21,M,2
2008,2,11,14685,Lawrence,Ortega,60000,1967-09-17,M,1
2008,2,16,25498,Shane,Kapoor,40000,1967-06-13,M,3
2008,4,25,20329,Jose,Yang,160000,1967-12-12,M,1
2008,1,14,14617,Aaron,Flores,60000,1967-02-03,M,4
2008,5,13,14832,Barry,Rana,40000,1967-11-05,M,3
2008,4,14,16420,Eddie,Alonso,20000,1967-11-19,M,2
2008,3,23,25651,Alvin,Yuan,40000,1967-06-16,M,3
2008,1,8,14613,Glenn,Huang,60000,1967-08-09,M,4
2008,7,17,18385,Miguel,Gonzalez,110000,1967-06-19,M,1
2008,4,30,15227,Harold,Malhotra,70000,1967-06-15,M,5
2008,1,11,11852,Kyle,Russell,60000,1967-10-25,M,3
2008,2,12,22498,Pedro,Jimenez,20000,1967-10-28,M,4
2008,4,7,16428,Ryan,Ross,20000,1967-03-28,M,4
2008,2,7,22070,Eduardo,Brown,110000,1967-07-02,M,2
2008,4,24,23210,Timothy,Gray,70000,1967-11-23,M,3
2008,1,23,15957,Samuel,Ross,130000,1967-11-15,M,2
2008,3,14,11855,Christian,Walker,60000,1967-08-13,M,1
2008,3,6,21102,Willie,Zheng,40000,1967-03-02,M,4
2008,3,7,21218,Wyatt,Rodriguez,70000,1967-06-13,M,3
2008,1,2,16422,Kurt,Xu,20000,1967-03-27,M,2
2008,6,24,12849,Adam,Baker,30000,1967-02-26,M,3
2008,1,28,19829,Lucas,Mitchell,60000,1967-09-03,M,4
2008,3,5,15535,Jordan,Scott,70000,1967-11-01,M,2
2008,2,11,14065,Samuel,Diaz,70000,1967-07-27,M,2
2008,5,25,17006,Hunter,Williams,70000,1967-02-07,M,4
2008,1,27,14457,Thomas,White,120000,1967-02-07,M,4
2008,2,28,11986,Max,Alvarez,70000,1967-07-24,M,4
2008,2,4,12715,Eddie,Gill,60000,1967-07-18,M,1
2008,1,10,17077,Ronald,Raman,60000,1967-02-28,M,1
2008,1,6,17809,Josue,Blanco,10000,1967-02-26,M,5
2008,5,13,20035,Cesar,Fernandez,70000,1967-03-01,M,1
2008,3,13,13821,Allen,Lopez,40000,1967-05-15,M,4
2008,4,3,27453,Carson,Henderson,80000,1967-11-03,M,2
2008,3,5,11852,Kyle,Russell,60000,1967-10-25,M,1
2008,2,3,14809,Max,Suarez,20000,1967-04-07,M,3
2008,4,12,17825,Clayton,Li,40000,1967-10-15,M,4
2008,6,16,25077,Wyatt,Clark,60000,1967-08-09,M,2
2008,1,5,11277,Charles,Jackson,80000,1967-06-10,M,5
2008,1,3,22674,Troy,Prasad,30000,1967-06-23,M,2
2008,2,12,25983,Jack,Alexander,70000,1967-08-22,M,2
2008,5,30,24408,Jordan,Diaz,110000,1967-07-10,M,4
2008,5,7,14975,Dalton,Scott,40000,1967-07-03,M,5
2008,5,21,17002,Dylan,Martin,70000,1967-12-15,M,4
